~000132~,~Mobile poll/Bureau itinérant~
~000000~,~~
~000329~,~Ottawa~
~000330~,~Rockcliffe Park VL~
~000331~,~Vanier~
~000332~,~Gloucester~
~000333~,~Ottawa--Rockcliffe Park VL~
~000334~,~Vanier--Ottawa~
~000374~,~Montréal~
~000375~,~Westmount~
~000376~,~Saint-Georges-de-Henryville~
~000377~,~Noyan~
~000378~,~Clarenceville~
~000379~,~Venise-en-Québec~
~000380~,~Saint-Sébastien~
~000381~,~Saint-Pierre-de-Véronne~
~000382~,~Philipsburg~
~000383~,~Stanbridge Station~
~000384~,~Notre-Dame-de-Stanbridge~
~000385~,~Sainte-Sabine~
~000386~,~Rainville~
~000387~,~Farnham~
~000388~,~Saint-Ignace-de-Stanbridge~
~000389~,~Bedford~
~000390~,~Stanbridge E~
~000391~,~Frelighsburg~
~000392~,~Dunham~
~000393~,~Cowansville~
~000394~,~East Farnham~
~000395~,~Brigham~
~000396~,~Bromont~
~000397~,~Lac-Brome~
~000398~,~Brome VL~
~000399~,~Sutton Twp/Ctn~
~000400~,~Sutton VL~
~000401~,~Abercorn~
~000402~,~Potton~
~000403~,~Bolton-Ouest~
~000404~,~Saint-Étienne-de-Bolton~
~000405~,~Bolton-Est~
~000406~,~Eastman~
~000407~,~Austin~
~000408~,~Magog~
~000409~,~Omerville~
~000410~,~Stukely-Sud VL~
~000411~,~Orford~
~000412~,~Magog Twp/Ctn~
~000414~,~Horne Settlement~
~000415~,~Enfield~
~000416~,~Nine Mile River~
~000417~,~Elmsdale~
~000418~,~Lantz~
~000419~,~Milford Station~
~000420~,~Shubenacadie~
~000421~,~Micmac~
~000422~,~South Maitland~
~000423~,~Maitland~
~000424~,~Gore~
~000425~,~Five Mile River~
~000426~,~Selma No. 11C~
~000427~,~Noel No. 9B~
~000428~,~Noel No. 9C - No. 1~
~000429~,~Noel Road~
~000430~,~Noel No. 9A~
~000431~,~Minasville~
~000432~,~Tennycape~
~000433~,~Gore No. 15C~
~000434~,~Gore No. 15A~
~000435~,~Walton No. 14A~
~000436~,~Rawdon~
~000437~,~Rawdon Gold Mines~
~000438~,~South Rawdon~
~000439~,~East Uniacke~
~000440~,~South Uniacke~
~000441~,~Uniacke~
~000442~,~Mount Uniacke~
~000443~,~Pembroke~
